carat,cut,color,clarity,price
2.29,5,1,VS2,18.823
2,4,1,SI1,18.818
1.51,2,1,IF,18.86
2.7,2,1,SI2,18.84
2,4,1,SI1,18.83
2.29,5,1,SI1,18.797
2,5,1,VS1,18.795
1.71,5,2,VS2,18.791
2.8,3,1,SI2,18.788
2.5,2,1,SI1,18.787
2.5,5,2,SI2,18.784
2.3,4,1,SI1,18.781
1.6,2,2,VS1,18.78
1.51,4,2,VVS1,18.777
1.71,2,1,VVS2,18.768
2.55,5,1,VS1,18.766
2.8,2,1,SI1,18.76
2,4,2,SI1,18.759
2.3,2,1,SI1,18.757
2.61,2,1,SI2,18.756
2.1,2,1,SI1,18.741
2.1,4,1,SI1,18.741
2.1,5,1,SI1,18.741
1.94,5,2,SI1,18.735
2.2,4,2,SI1,18.731
1.72,5,1,VVS2,18.73
1.51,2,2,VS1,18.729
1.7,5,1,VVS2,18.718
2.18,5,2,SI1,18.717
3.1,5,1,SI2,18.71
3.1,5,1,SI2,18.71
2,4,2,SI1,18.79
2.7,3,1,VS2,18.77
2.22,5,1,VS1,18.76
3.51,5,1,VS2,18.71
2.2,2,1,VS2,18.7
1.28,2,2,IF,18.7
2.19,2,2,SI2,18.693
2.43,5,1,VS2,18.692
1.5,4,1,VS2,18.691
2.67,3,2,SI2,18.686
1.42,2,2,VVS1,18.682
2.3,5,1,VS2,18.68
2.16,4,2,SI2,18.678
2.2,5,2,SI2,18.678
2.4,2,1,SI1,18.663
2.5,2,1,VS2,18.659
2.12,5,1,SI1,18.656
2.29,5,1,VS2,18.653
2.1,2,1,SI1,18.648
2.1,3,1,VS2,18.64
2.9,4,2,SI2,18.64
2.3,4,1,SI1,18.63
2.1,3,1,SI1,18.625
2.42,5,1,VS2,18.615
1.49,2,2,VVS2,18.614
2.7,5,2,SI2,18.611
2.1,2,1,VS2,18.67
2,2,1,SI1,18.64
1.71,2,1,VVS2,18.599
1.7,5,2,VS1,18.598
2.29,5,1,IF,18.594
3.1,3,1,SI2,18.593
2.3,2,2,SI2,18.578
2.11,5,2,SI2,18.575
2.1,1,1,SI1,18.574
2.1,3,1,SI1,18.572
1.6,2,2,VS1,18.571
2.2,1,1,VS2,18.565
2.1,4,1,VS2,18.561
2.1,3,1,VS2,18.561
3.4,5,1,SI2,18.559
2.38,5,1,VS2,18.559
2.9,5,1,SI1,18.559
1.72,4,2,VS2,18.557
1.5,4,2,IF,18.552
1.4,4,2,IF,18.542
2.4,2,1,SI2,18.541
2.4,3,1,SI1,18.541
2.3,2,2,SI2,18.535
2.32,2,1,SI2,18.532
4.5,1,1,I1,18.531
2.14,2,1,SI1,18.528
1.83,5,1,VS2,18.525
2,4,1,SI1,18.524
2.38,5,1,VS1,18.522
2,1,1,VS2,18.515
2.9,4,2,SI2,18.59
2.37,2,1,SI1,18.58
2.32,4,1,SI2,18.58
2.1,4,1,VS2,18.57
2.3,4,1,SI1,18.57
2.1,4,1,VS1,18.5
2.66,3,1,SI2,18.495
2,5,2,SI1,18.493
2.7,4,1,SI1,18.489
2.57,5,1,SI1,18.485
2.21,4,2,SI2,18.483
2.16,5,1,VS2,18.481
2.1,4,1,SI1,18.48
2.3,5,2,SI2,18.477
2.19,2,1,SI1,18.475
2.1,3,1,VS2,18.474
2.9,3,2,SI2,18.472
2.15,2,1,SI1,18.47
2.4,3,2,SI1,18.468
2.16,2,1,VS1,18.462
2.1,2,1,SI2,18.462
2.5,5,1,SI2,18.447
2.8,5,1,VS2,18.447
1.7,2,1,VVS1,18.445
2.9,5,1,VS2,18.443
2.13,2,1,SI1,18.442
2,2,1,SI1,18.44
2,2,1,SI1,18.44
2.6,5,1,SI1,18.439
1.33,2,2,IF,18.435
2.22,5,1,SI1,18.432
1.72,2,1,VVS2,18.431
1.74,4,2,VS2,18.43
1.7,5,2,VS1,18.43
1.79,4,2,VS2,18.429
2.26,5,1,SI1,18.426
2.29,5,1,IF,18.426
2,5,2,SI2,18.426
2.3,5,1,SI1,18.423
